hour,consumption,I,temperature
1,531.38,0,22.7
2,524.77,0,22.7
3,563.46,0,22.8
4,506.28,0,22.8
5,542.58,0,22.8
6,588.2,0,22.9
7,603.97,0,23.1
8,633.99,33.2315,23.5
9,608.88,202.289,24.2
10,620.18,377.901,24.8
11,617.58,124.45,25.3
12,623.52,475.2,25.6
13,553.4,369.042,25.7
14,523.02,193.445,25.7
15,525.29,165.812,25.5
16,529.7,83.6,25.3
17,511.5,172.225,24.9
18,516.63,17.4465,24.5
19,511.42,0,24.4
20,500.8,0,24.3
21,503.63,0,24.2
22,494.11,0,24.1
23,502.97,0,24.1
24,488.34,0,24
25,497.81,0,24
26,532.79,0,23.9
27,501.31,0,23.9
28,529.55,0,23.8
29,523.1,0,23.7
30,675.53,0,23.6
31,686.99,0,23.7
32,684.66,34.1904,24.3
33,686.98,205.065,25
34,668.24,380.134,25.5
35,686.54,519.82,26
36,718.85,422.547,26.2
37,622.47,207.727,26.4
38,623.76,193.446,26.4
39,613.75,296.891,26.3
40,577.73,347.366,26
41,572.7,117.757,25.5
42,522.44,17.2992,25
43,537.46,0,24.7
44,523.26,0,24.5
45,508.2,0,24.4
46,517.42,0,24.4
47,498.13,0,24.3
48,528.69,0,24.3
49,512.65,0,24.3
50,515.23,0,24.2
51,552.16,0,24.2
52,516.52,0,24.2
53,589.27,0,24.2
54,643.08,0,24.3
55,763.27,0,24.6
56,780.24,32.8003,25.1
57,764.81,203.018,25.7
58,813.52,114.95,26
59,764.84,250.162,26.3
60,777.85,614.3,26.4
61,789.22,462.441,26.5
62,790.34,527.2,26.6
63,820.57,425.885,26.5
64,773.29,359.692,26.3
65,735.37,101.03,26
66,744.16,13.3,25.7
67,723.25,0,25.6
68,719.4,0,25.5
69,668.31,0,25.4
70,668.49,0,25.3
71,689.14,0,25.3
72,655.37,0,25.2
73,623.33,0,25.2
74,565.79,0,25.1
75,499.28,0,25
76,523.2,0,24.9
77,516.74,0,24.8
78,620.7,0,24.7
79,656.92,0,24.8
80,706.33,18.0175,25.2
81,753.64,106.684,25.7
82,740.72,283.869,26
83,751.48,241.811,26.3
84,765.02,530.559,26.5
85,697.64,175.75,26.6
86,724.8,389.078,26.7
87,797.16,327.919,26.6
88,779.42,288.153,26.4
89,787.46,134.381,26
90,749.12,14.25,25.4
91,731.12,0,25.2
92,746.91,0,25
93,722.82,0,24.8
94,697.04,0,24.7
95,721.9,0,24.6
96,698.97,0,24.6
97,655.92,0,24.5
98,636.36,0,24.5
99,575.58,0,24.4
100,576.47,0,24.3
101,580.04,0,24.2
102,665.06,0,24.1
103,748.44,0,24.2
104,725.21,34.8872,24.7
105,750.66,170.267,25.3
106,777.58,393.45,25.8
107,794.41,470.036,26.3
108,911.97,629.254,26.7
109,829.64,655.571,27
110,883.77,628.744,27.1
111,911.51,527.951,27.1
112,891.73,376.425,26.8
113,868.67,191.859,26
114,872.17,23.2185,25.2
115,794.27,0,24.8
116,846.67,0,24.1
117,805.5,0,23.9
118,789.04,0,23.8
119,783.91,0,23.7
120,755.57,0,23.7
121,735.54,0,23.7
122,656.71,0,23.6
123,635.01,0,23.5
124,622.1,0,23.4
125,635.59,0,23.3
126,703.08,0,23.3
127,767.76,0,23.4
128,760.34,32.8886,24.1
129,772.37,204.107,24.9
130,746.33,381.111,25.4
131,737.21,522.043,25.9
132,807.64,608.572,26.3
133,746.33,633.456,26.5
134,784.07,573.928,26.6
135,800.58,262.623,26.6
136,813.37,213.97,26.4
137,753.32,173.916,26
138,770.19,11.4,25.5
139,756.83,0,25.3
140,747.62,0,24.9
141,712.58,0,24.6
142,703.91,0,24.3
143,689.9,0,24.1
144,730.97,0,23.9
145,645.57,0,23.8
146,619.36,0,23.7
147,570.98,0,23.6
148,570.47,0,23.4
149,582.47,0,23.1
150,659.41,0,22.8
151,668.43,0,22.6
152,680.52,28.1777,22.6
153,725.4,194.003,22.7
154,701.32,370.695,23.1
155,721.82,515.763,23.8
156,721.35,606.311,24.4
157,695.28,466.087,24.9
158,660.79,117.455,25.2
159,625.65,254.162,25.4
160,627.58,35.15,25.4
161,602.92,85.7155,25
162,570.45,4.75,24.3
163,549.28,0,24
164,505.18,0,22.7
165,534.63,0,21.8
166,504.31,0,21
167,520.65,0,20.3
168,528.55,0,19.6
169,499.41,0,19
170,554,0,18.3
171,552.65,0,17.6
172,525.44,0,17
173,526.94,0,16.5
174,560.98,0,16.2
175,649.14,0,15.9
176,640.05,32.242,16.2
177,637.43,210.867,17
178,674.87,400.005,18.3
179,618.45,553.776,19.5
180,642.16,652.689,20.3
181,621.77,682.59,20.9
182,594.91,646.219,21.2
183,617.49,547.594,21.2
184,587.52,391.283,21.1
185,617.31,200.857,20.9
186,555.24,24.6514,20.8
187,557.43,0,20.8
188,529.05,0,20.8
189,508.7,0,20.9
190,506.93,0,20.9
191,507.89,0,20.9
192,494.64,0,20.9
193,518.56,0,20.9
194,504.72,0,20.9
195,507.78,0,20.9
196,518.91,0,20.9
197,535.62,0,21
198,634.83,0,21.1
199,719.73,0,21.3
200,777.71,32.075,21.9
201,770.3,207.483,22.7
202,836.04,392.781,23.2
203,819.64,299.003,23.5
204,874.27,470.348,23.7
205,833.95,679.811,23.7
206,871.71,652.608,23.7
207,831.8,553.051,23.6
208,839.46,398.344,23.5
209,798.72,42.75,23.3
210,808.72,28.4621,23.1
211,778.28,0,23
212,808.23,0,22.7
213,746.54,0,22.5
214,708.99,0,22
215,745.9,0,21.4
216,705.86,0,20.8
217,661.04,0,20.2
218,567.56,0,19.6
219,590.04,0,19
220,559.7,0,18.5
221,593.9,0,18.1
222,702.82,0,17.9
223,753.69,0,17.7
224,769.8,14.25,17.9
225,753.4,48.45,18.5
226,813.74,170.2,19.7
227,759.56,389.136,21.1
228,828.64,646.118,22.4
229,780.57,677.308,23.3
230,808.3,144.4,23.8
231,857.22,368.807,24
232,799.58,104.5,23.9
233,821.27,75.2909,23.5
234,794.64,11.4,23
235,768.02,0,22.8
236,782.16,0,22.6
237,773.31,0,22.5
238,725.41,0,22.4
239,726.85,0,22.3
240,736.16,0,22.2
241,656.04,0,22.3
242,589.97,0,22.3
243,586.37,0,22.3
244,573.97,0,22.3
245,593.67,0,22.3
246,688.61,0,22.4
247,767.66,0,22.6
248,778.82,16.15,23.2
249,804.75,205.12,23.9
250,850.28,295.185,24.4
251,832.02,544.191,24.7
252,861.5,250.13,24.8
253,818.26,396.151,24.8
254,813.74,637.968,24.7
255,877.08,540.6,24.4
256,857.84,205.349,24.3
257,803.01,137.432,24.1
258,800.8,17.0512,24
259,807.38,0,24
260,805.92,0,24
261,796.23,0,24
262,743.38,0,24
263,840.76,0,23.9
264,738.4,0,23.8
265,700.86,0,23.7
266,651.61,0,23.7
267,569.62,0,23.7
268,601.2,0,23.6
269,589.54,0,23.7
270,686.6,0,23.7
271,787.76,0,23.8
272,766.39,19.8274,24
273,815.53,211.175,24.3
274,813.34,91.2,24.5
275,773.33,152.95,24.7
276,894.05,501.159,24.7
277,845.08,516.349,24.6
278,845.29,405.303,24.5
279,927.72,244.355,24.4
280,959.8,57,24.3
281,897.02,212.794,24
282,841.26,33.4928,23.8
283,796.09,0,23.8
284,791.66,0,23.8
285,798.05,0,23.8
286,762.21,0,23.7
287,775.92,0,23.6
288,755.66,0,23.5
289,715.4,0,23.5
290,623.93,0,23.4
291,638.65,0,23.4
292,606.03,0,23.3
293,619.17,0,23.1
294,673.42,0,22.9
295,815.47,0,22.8
296,888.72,33.1652,23
297,798.04,149.858,23.4
298,864.96,171.162,24
299,840.1,548.844,24.5
300,914.96,644.958,24.8
301,812.68,506.626,25
302,831.34,648.771,25
303,869.04,552.695,24.9
304,796.76,400.792,24.8
305,813.25,111.445,24.5
306,831.49,34.2194,24.2
307,737.41,0,24.1
308,775.9,0,24
309,717.86,0,23.8
310,716.65,0,23.4
311,747.66,0,23.1
312,750.31,0,22.9
313,710.89,0,22.6
314,631.28,0,22.5
315,549.97,0,22.4
316,626.56,0,22.2
317,566.72,0,22
318,679.61,0,21.8
319,719.11,0,21.7
320,786.81,12.35,22
321,782.98,212.315,22.5
322,777.37,287.233,23.2
323,706.16,549.73,23.9
324,723.3,164.35,24.3
325,759.09,379.792,24.7
326,668.88,419.247,24.9
327,669.76,111.15,24.9
328,625.25,186.56,24.8
329,612.39,159.285,24.3
330,620.02,37.3402,23.7
331,642.95,0,23.5
332,605.32,0,22.8
333,647.25,0,22.3
334,584.85,0,21.9
335,559.46,0,21.6
336,578.14,0,21.3
337,537.06,0,21.1
338,575.88,0,20.9
339,603.95,0,20.7
340,568.87,0,20.4
341,600.89,0,20.1
342,715.55,0,19.9
343,678.03,0,19.9
344,735.55,11.4,20.2
345,719.06,71.25,21
346,712.99,114.95,22.1
347,640.3,141.55,23
348,685.31,155.8,23.6
349,640,490.213,24
350,640.52,440.538,24.1
351,632.68,416.489,24.1
352,585.91,202.289,24.1
353,570.87,61.75,23.8
354,550.73,36.5592,23.5
355,498.49,0,23.3
356,540.44,0,23
357,518.54,0,22.7
358,534.09,0,22.3
359,554.7,0,21.9
360,504.31,0,21.4
361,554.9,0,21.1
362,540.94,0,20.8
363,524.67,0,20.4
364,526.44,0,20.1
365,548.05,0,19.7
366,679.56,0,19.4
367,703.4,0,19.2
368,770.06,34.1113,19.2
369,799.54,213.225,19.4
370,734.93,336.312,19.9
371,689.69,431.638,20.6
372,824.81,345.897,21.4
373,679.39,117.8,21.8
374,666.4,652.732,21.9
375,603.24,392.065,21.8
376,641.49,79.8,21.5
377,601.67,150.894,21.1
378,578.56,39.8723,20.7
379,569.14,0,20.5
380,612.94,0,20
381,629.33,0,19.7
382,607.73,0,19.3
383,558.52,0,19
384,570.69,0,18.6
385,539.4,0,18.3
386,563.08,0,18.2
387,552.34,0,18.1
388,549.09,0,18
389,584.62,0,17.9
390,652.9,0,17.9
391,715.63,0,18.2
392,785.95,35.6211,19
393,829.83,218.826,20.2
394,778.31,406.446,21.4
395,737.55,560.613,22.3
396,831.8,406.232,22.8
397,832.97,694.498,23.1
398,768.84,530.936,23.2
399,864.73,500.411,23.2
400,825.61,243.695,23
401,755.05,168.839,22.4
402,782.73,43.9821,21.8
403,751.17,0,21.6
404,760.65,0,21.5
405,744.26,0,21.5
406,709.84,0,21.5
407,780.96,0,21.5
408,710.79,0,21.5
409,693.35,0,21.6
410,609.33,0,21.6
411,597.22,0,21.7
412,564.93,0,21.7
413,594.41,0,21.6
414,682.07,0,21.4
415,806.66,0,21.3
416,808.26,37.5822,21.6
417,822.59,224.836,22.2
418,804.33,413.99,22.8
419,773.18,568.43,23.3
420,769.75,486.59,23.6
421,788.04,631.721,23.8
422,845.46,518.669,24
423,820.64,361.646,24.1
424,835.52,261.252,24
425,803.26,154.659,23.5
426,837.8,31.1809,22.7
427,791.06,0,22.4
428,773.77,0,21.5
429,763.19,0,21
430,714.1,0,20.5
431,713.9,0,20
432,757.41,0,19.5
433,697.95,0,19.1
434,623.26,0,18.6
435,571.64,0,18.2
